Municipios	Periodo	Total
46 Valencia/València	1991	2.141.114
46 Valencia/València	1981	2.066.413
46 Valencia/València	1970	1.767.327
46 Valencia/València	1960	1.429.708
46 Valencia/València	1950	1.347.912
46 Valencia/València	1940	1.256.633
46 Valencia/València	1930	1.042.154
46 Valencia/València	1920	926.442
46 Valencia/València	1910	884.298
46 Valencia/València	1900	806.556
46001 Ademuz	1991	1.208
46001 Ademuz	1981	1.545
46001 Ademuz	1970	2.180
46001 Ademuz	1960	2.737
46001 Ademuz	1950	3.264
46001 Ademuz	1940	3.611
46001 Ademuz	1930	3.440
46001 Ademuz	1920	3.761
46001 Ademuz	1910	3.638
46001 Ademuz	1900	3.403
46002 Ador	1991	1.082
46002 Ador	1981	1.252
46002 Ador	1970	1.340
46002 Ador	1960	1.321
46002 Ador	1950	1.242
46002 Ador	1940	1.187
46002 Ador	1930	1.104
46002 Ador	1920	904
46002 Ador	1910	903
46002 Ador	1900	822
46004 Agullent	1991	2.026
46004 Agullent	1981	1.969
46004 Agullent	1970	1.615
46004 Agullent	1960	1.544
46004 Agullent	1950	1.359
46004 Agullent	1940	1.245
46004 Agullent	1930	1.193
46004 Agullent	1920	1.355
46004 Agullent	1910	1.341
46004 Agullent	1900	1.133
46042 Aielo de Malferit	1991	3.766
46042 Aielo de Malferit	1981	3.549
46042 Aielo de Malferit	1970	3.156
46042 Aielo de Malferit	1960	3.085
46042 Aielo de Malferit	1950	2.823
46042 Aielo de Malferit	1940	2.595
46042 Aielo de Malferit	1930	2.695
46042 Aielo de Malferit	1920	2.840
46042 Aielo de Malferit	1910	2.895
46042 Aielo de Malferit	1900	2.883
46043 Aielo de Rugat	1991	201
46043 Aielo de Rugat	1981	220
46043 Aielo de Rugat	1970	237
46043 Aielo de Rugat	1960	256
46043 Aielo de Rugat	1950	264
46043 Aielo de Rugat	1940	266
46043 Aielo de Rugat	1930	224
46043 Aielo de Rugat	1920	294
46043 Aielo de Rugat	1910	290
46043 Aielo de Rugat	1900	290
46005 Alaquàs	1991	24.107
46005 Alaquàs	1981	23.550
46005 Alaquàs	1970	19.639
46005 Alaquàs	1960	8.116
46005 Alaquàs	1950	4.332
46005 Alaquàs	1940	3.753
46005 Alaquàs	1930	3.276
46005 Alaquàs	1920	2.765
46005 Alaquàs	1910	2.672
46005 Alaquàs	1900	2.370
46006 Albaida	1991	5.862
46006 Albaida	1981	5.571
46006 Albaida	1970	4.971
46006 Albaida	1960	4.216
46006 Albaida	1950	3.983
46006 Albaida	1940	4.005
46006 Albaida	1930	4.027
46006 Albaida	1920	4.249
46006 Albaida	1910	4.127
46006 Albaida	1900	4.035
46007 Albal	1991	9.109
46007 Albal	1981	8.101
46007 Albal	1970	7.203
46007 Albal	1960	4.784
46007 Albal	1950	4.069
46007 Albal	1940	3.547
46007 Albal	1930	3.100
46007 Albal	1920	2.673
46007 Albal	1910	2.373
46007 Albal	1900	2.293
46008 Albalat de la Ribera	1991	3.421
46008 Albalat de la Ribera	1981	3.570
46008 Albalat de la Ribera	1970	3.551
46008 Albalat de la Ribera	1960	3.354
46008 Albalat de la Ribera	1950	3.342
46008 Albalat de la Ribera	1940	3.180
46008 Albalat de la Ribera	1930	2.990
46008 Albalat de la Ribera	1920	2.928
46008 Albalat de la Ribera	1910	2.850
46008 Albalat de la Ribera	1900	2.625
46009 Albalat dels Sorells	1991	3.515
46009 Albalat dels Sorells	1981	3.608
46009 Albalat dels Sorells	1970	3.063
46009 Albalat dels Sorells	1960	2.447
46009 Albalat dels Sorells	1950	1.851
46009 Albalat dels Sorells	1940	1.835
46009 Albalat dels Sorells	1930	1.693
46009 Albalat dels Sorells	1920	1.634
46009 Albalat dels Sorells	1910	1.500
46009 Albalat dels Sorells	1900	1.198
46010 Albalat dels Tarongers	1991	559
46010 Albalat dels Tarongers	1981	559
46010 Albalat dels Tarongers	1970	629
46010 Albalat dels Tarongers	1960	650
46010 Albalat dels Tarongers	1950	713
46010 Albalat dels Tarongers	1940	754
46010 Albalat dels Tarongers	1930	868
46010 Albalat dels Tarongers	1920	810
46010 Albalat dels Tarongers	1910	923
46010 Albalat dels Tarongers	1900	857
46011 Alberic	1991	8.587
46011 Alberic	1981	8.836
46011 Alberic	1970	8.509
46011 Alberic	1960	7.945
46011 Alberic	1950	7.451
46011 Alberic	1940	7.078
46011 Alberic	1930	6.732
46011 Alberic	1920	6.573
46011 Alberic	1910	6.433
46011 Alberic	1900	5.792
46012 Alborache	1991	859
46012 Alborache	1981	768
46012 Alborache	1970	821
46012 Alborache	1960	914
46012 Alborache	1950	1.000
46012 Alborache	1940	981
46012 Alborache	1930	950
46012 Alborache	1920	1.017
46012 Alborache	1910	1.107
46012 Alborache	1900	1.244
46013 Alboraia/Alboraya	1991	11.687
46013 Alboraia/Alboraya	1981	10.727
46013 Alboraia/Alboraya	1970	9.126
46013 Alboraia/Alboraya	1960	8.073
46013 Alboraia/Alboraya	1950	6.885
46013 Alboraia/Alboraya	1940	6.749
46013 Alboraia/Alboraya	1930	6.124
46013 Alboraia/Alboraya	1920	5.712
46013 Alboraia/Alboraya	1910	4.807
46013 Alboraia/Alboraya	1900	4.700
46014 Albuixech	1991	2.963
46014 Albuixech	1981	2.974
46014 Albuixech	1970	2.641
46014 Albuixech	1960	2.407
46014 Albuixech	1950	2.310
46014 Albuixech	1940	2.301
46014 Albuixech	1930	2.248
46014 Albuixech	1920	2.047
46014 Albuixech	1910	1.924
46014 Albuixech	1900	1.514
46016 Alcàntera de Xúquer	1991	1.483
46016 Alcàntera de Xúquer	1981	1.418
46016 Alcàntera de Xúquer	1970	1.231
46016 Alcàntera de Xúquer	1960	1.211
46016 Alcàntera de Xúquer	1950	1.129
46016 Alcàntera de Xúquer	1940	1.001
46016 Alcàntera de Xúquer	1930	1.214
46016 Alcàntera de Xúquer	1920	1.128
46016 Alcàntera de Xúquer	1910	1.118
46016 Alcàntera de Xúquer	1900	921
46015 Alcàsser	1991	7.191
46015 Alcàsser	1981	6.555
46015 Alcàsser	1970	5.449
46015 Alcàsser	1960	4.679
46015 Alcàsser	1950	4.473
46015 Alcàsser	1940	4.368
46015 Alcàsser	1930	4.055
46015 Alcàsser	1920	3.530
46015 Alcàsser	1910	3.411
46015 Alcàsser	1900	3.200
46018 Alcublas	1991	852
46018 Alcublas	1981	988
46018 Alcublas	1970	1.119
46018 Alcublas	1960	1.486
46018 Alcublas	1950	1.822
46018 Alcublas	1940	1.981
46018 Alcublas	1930	2.094
46018 Alcublas	1920	2.714
46018 Alcublas	1910	2.763
46018 Alcublas	1900	2.775
46020 Alcúdia de Crespins, l'	1991	4.112
46020 Alcúdia de Crespins, l'	1981	4.081
46020 Alcúdia de Crespins, l'	1970	3.724
46020 Alcúdia de Crespins, l'	1960	2.544
46020 Alcúdia de Crespins, l'	1950	2.176
46020 Alcúdia de Crespins, l'	1940	2.092
46020 Alcúdia de Crespins, l'	1930	1.923
46020 Alcúdia de Crespins, l'	1920	1.613
46020 Alcúdia de Crespins, l'	1910	1.669
46020 Alcúdia de Crespins, l'	1900	1.398
46019 Alcúdia, l'	1991	9.988
46019 Alcúdia, l'	1981	10.016
46019 Alcúdia, l'	1970	8.151
46019 Alcúdia, l'	1960	6.855
46019 Alcúdia, l'	1950	6.265
46019 Alcúdia, l'	1940	5.621
46019 Alcúdia, l'	1930	5.062
46019 Alcúdia, l'	1920	4.242
46019 Alcúdia, l'	1910	4.180
46019 Alcúdia, l'	1900	3.312
46021 Aldaia	1991	22.350
46021 Aldaia	1981	20.800
46021 Aldaia	1970	16.157
46021 Aldaia	1960	9.579
46021 Aldaia	1950	6.382
46021 Aldaia	1940	4.570
46021 Aldaia	1930	3.974
46021 Aldaia	1920	3.423
46021 Aldaia	1910	3.236
46021 Aldaia	1900	2.906
46022 Alfafar	1991	19.996
46022 Alfafar	1981	20.195
46022 Alfafar	1970	13.093
46022 Alfafar	1960	4.394
46022 Alfafar	1950	4.126
46022 Alfafar	1940	3.983
46022 Alfafar	1930	3.531
46022 Alfafar	1920	3.241
46022 Alfafar	1910	2.934
46022 Alfafar	1900	2.552
46024 Alfara de la Baronia	1991	527
46024 Alfara de la Baronia	1981	568
46024 Alfara de la Baronia	1970	659
46024 Alfara de la Baronia	1960	641
46024 Alfara de la Baronia	1950	608
46024 Alfara de la Baronia	1940	575
46024 Alfara de la Baronia	1930	589
46024 Alfara de la Baronia	1920	571
46024 Alfara de la Baronia	1910	621
46024 Alfara de la Baronia	1900	638
46025 Alfara del Patriarca	1991	2.818
46025 Alfara del Patriarca	1981	2.851
46025 Alfara del Patriarca	1970	2.777
46025 Alfara del Patriarca	1960	2.508
46025 Alfara del Patriarca	1950	2.349
46025 Alfara del Patriarca	1940	2.272
46025 Alfara del Patriarca	1930	2.230
46025 Alfara del Patriarca	1920	1.810
46025 Alfara del Patriarca	1910	1.575
46025 Alfara del Patriarca	1900	1.342
46026 Alfarp	1991	1.333
46026 Alfarp	1981	1.239
46026 Alfarp	1970	1.229
46026 Alfarp	1960	1.216
46026 Alfarp	1950	1.390
46026 Alfarp	1940	1.371
46026 Alfarp	1930	1.271
46026 Alfarp	1920	1.166
46026 Alfarp	1910	1.079
