city,comarca
Ademuz,Racó d'Ademús
Ador,Safor
Adsubia,Marina Alta
Agost,Alacantí
Agres,Comtat
Agullent,Vall d'Albaida
Aielo de Malferit,Vall d'Albaida
Aielo de Rugat,Vall d'Albaida
Aigües,Alacantí
Alacant,Alacantí
Alaquàs,Horta Sud
Albaida,Vall d'Albaida
Albal,Horta Sud
Albalat de la Ribera,Ribera Baixa
Albalat dels Sorells,Horta Nord
Albalat dels Tarongers,Camp de Morvedre
Albatera,Baix Segura
Alberic,Ribera Alta
Albocàsser,Alt Maestrat
Alborache,Foia de Bunyol
Alboraia,Horta Nord
Alboraya,Horta Nord
Albuixech,Horta Nord
Alcalalí,Marina Alta
Alcalà de Xivert,Baix Maestrat
Alcantera de xuquer,Ribera Alta
Alcocer de planes,Comtat
Alcoi,Alcoià
Alcoleja,Comtat
"Alcora, l'",Alcalatén
Alcosser,Comtat
Alcublas,Serrans
Alcudia de Veo,Plana Baixa
Alcàntera de Xúquer,Ribera Alta
Alcàsser,Horta Sud
Alcúdia (L'),Camp de Morvedre
Alcúdia de Crespins (L'),Costera
"Alcúdia de Crespins, l'",Costera
Alcúdia de Veo,Plana Baixa
"Alcúdia, l'",Ribera Alta
Aldaia,Horta Sud
Alfafar,Horta Sud
Alfafara,Comtat
Alfara de la Baronia,Camp de Morvedre
Alfara del Patriarca,Horta Nord
Alfarp,Ribera Alta
Alfarrasi,Vall d'Albaida
Alfarrasí,Vall d'Albaida
Alfauir,Safor
Alfondeguilla,Plana Baixa
"Alfàs del Pi, l'",Marina Baixa
Algar de Palancia,Camp de Morvedre
Algemesí,Ribera Alta
Algimia de Alfara,Camp de Morvedre
Algimia de Almonacid,Alt Palància
Alginet,Ribera Alta
Algorfa,Baix Segura
Algueña,Vinalopó Mitjà
Almassora,Plana Alta
Almedíjar,Alt Palància
Almenara,Plana Baixa
Almiserà,Safor
Almoines,Safor
Almoradí,Baix Segura
Almudaina,Comtat
Almussafes,Ribera Baixa
Almàssera,Horta Nord
Alpuente,Serrans
"Alqueria d'Asnar, l'",Comtat
"Alqueria de la Comtessa, l'",Safor
"Alqueries, les",Plana Baixa
Alquerías del Niño Perdido,Plana Baixa
Altea,Marina Baixa
Altura,Alt Palància
Alzira,Ribera Alta
Andilla,Serrans
Anna,Canal de Navarrés
Antella,Ribera Alta
Aras de los Olmos,Serrans
Ares del Maestrat,Alt Maestrat
Argelita,Alt Millars
Artana,Plana Baixa
Asp,Vinalopó Mitjà
Atzeneta d'Albaida,Vall d'Albaida
Atzeneta del Maestrat,Alt Maestrat
"Atzúbia, l'",Marina Alta
Ayora,Vall de Cofrents-Aiora
Ayódar,Alt Millars
Azuébar,Alt Palància
Aín,Plana Baixa
Balones,Comtat
Banyeres de Mariola,Alcoià
Banyeres de mariola,Alcoià
Barracas,Alt Palància
Barx,Safor
Barxeta,Costera
Bejís,Alt Palància
Bellreguard,Safor
Bellús,Vall d'Albaida
Benafer,Alt Palància
Benafigos,Alt Maestrat
Benaguasil,Camp de Túria
Benagéber,Serrans
Benasal,Alt Maestrat
Benasau,Comtat
Benassal,Alt Maestrat
Benavites,Camp de Morvedre
Beneixama,Alt Vinalopó
Beneixida,Ribera Alta
Benejúzar,Baix Segura
Benetússer,Horta Sud
Benferri,Baix Segura
Beniarbeig,Marina Alta
Beniardà,Marina Baixa
Beniardá,Marina Baixa
Beniarjó,Safor
Beniarrés,Comtat
Beniatjar,Vall d'Albaida
Benicarló,Baix Maestrat
Benicolet,Vall d'Albaida
Benicull de Xúquer,Ribera Baixa
