Municipios	Periodo	Total
03 Alicante/Alacant	1991	1.334.545
03 Alicante/Alacant	1981	1.148.597
03 Alicante/Alacant	1970	920.105
03 Alicante/Alacant	1960	711.942
03 Alicante/Alacant	1950	634.065
03 Alicante/Alacant	1940	607.562
03 Alicante/Alacant	1930	545.838
03 Alicante/Alacant	1920	512.186
03 Alicante/Alacant	1910	497.616
03 Alicante/Alacant	1900	470.149
03001 Atzúbia, l'	1991	545
03001 Atzúbia, l'	1981	544
03001 Atzúbia, l'	1970	644
03001 Atzúbia, l'	1960	766
03001 Atzúbia, l'	1950	858
03001 Atzúbia, l'	1940	889
03001 Atzúbia, l'	1930	851
03001 Atzúbia, l'	1920	841
03001 Atzúbia, l'	1910	692
03001 Atzúbia, l'	1900	631
03002 Agost	1991	3.906
03002 Agost	1981	3.721
03002 Agost	1970	3.369
03002 Agost	1960	2.591
03002 Agost	1950	2.356
03002 Agost	1940	2.349
03002 Agost	1930	2.811
03002 Agost	1920	2.619
03002 Agost	1910	3.152
03002 Agost	1900	2.958
03003 Agres	1991	626
03003 Agres	1981	729
03003 Agres	1970	897
03003 Agres	1960	1.028
03003 Agres	1950	1.163
03003 Agres	1940	1.171
03003 Agres	1930	1.218
03003 Agres	1920	1.276
03003 Agres	1910	1.372
03003 Agres	1900	1.133
03004 Aigües	1991	384
03004 Aigües	1981	374
03004 Aigües	1970	489
03004 Aigües	1960	867
03004 Aigües	1950	1.162
03004 Aigües	1940	1.041
03004 Aigües	1930	911
03004 Aigües	1920	1.207
03004 Aigües	1910	1.230
03004 Aigües	1900	1.300
03005 Albatera	1991	8.795
03005 Albatera	1981	8.076
03005 Albatera	1970	6.848
03005 Albatera	1960	6.026
03005 Albatera	1950	4.858
03005 Albatera	1940	4.582
03005 Albatera	1930	3.897
03005 Albatera	1920	3.821
03005 Albatera	1910	4.047
03005 Albatera	1900	3.939
03006 Alcalalí	1991	855
03006 Alcalalí	1981	611
03006 Alcalalí	1970	685
03006 Alcalalí	1960	731
03006 Alcalalí	1950	831
03006 Alcalalí	1940	961
03006 Alcalalí	1930	1.010
03006 Alcalalí	1920	909
03006 Alcalalí	1910	925
03006 Alcalalí	1900	1.118
03007 Alcosser	1991	109
03007 Alcosser	1981	245
03007 Alcosser	1970	184
03007 Alcosser	1960	221
03007 Alcosser	1950	269
03007 Alcosser	1940	301
03007 Alcosser	1930	299
03007 Alcosser	1920	344
03007 Alcosser	1910	327
03007 Alcosser	1900	347
03008 Alcoleja	1991	301
03008 Alcoleja	1981	346
03008 Alcoleja	1970	445
03008 Alcoleja	1960	867
03008 Alcoleja	1950	768
03008 Alcoleja	1940	785
03008 Alcoleja	1930	822
03008 Alcoleja	1920	873
03008 Alcoleja	1910	942
03008 Alcoleja	1900	964
03009 Alcoy/Alcoi	1991	64.579
03009 Alcoy/Alcoi	1981	65.908
03009 Alcoy/Alcoi	1970	61.371
03009 Alcoy/Alcoi	1960	51.096
03009 Alcoy/Alcoi	1950	43.880
03009 Alcoy/Alcoi	1940	45.792
03009 Alcoy/Alcoi	1930	38.739
03009 Alcoy/Alcoi	1920	36.463
03009 Alcoy/Alcoi	1910	33.896
03009 Alcoy/Alcoi	1900	32.053
03010 Alfafara	1991	374
03010 Alfafara	1981	403
03010 Alfafara	1970	458
03010 Alfafara	1960	484
03010 Alfafara	1950	600
03010 Alfafara	1940	644
03010 Alfafara	1930	595
03010 Alfafara	1920	622
03010 Alfafara	1910	668
03010 Alfafara	1900	562
03011 Alfàs del Pi, l'	1991	6.671
03011 Alfàs del Pi, l'	1981	5.040
03011 Alfàs del Pi, l'	1970	2.527
03011 Alfàs del Pi, l'	1960	955
03011 Alfàs del Pi, l'	1950	952
03011 Alfàs del Pi, l'	1940	991
03011 Alfàs del Pi, l'	1930	1.104
03011 Alfàs del Pi, l'	1920	1.043
03011 Alfàs del Pi, l'	1910	1.138
03011 Alfàs del Pi, l'	1900	1.186
03012 Algorfa	1991	1.113
03012 Algorfa	1981	1.068
03012 Algorfa	1970	968
03012 Algorfa	1960	960
03012 Algorfa	1950	751
03012 Algorfa	1940	517
03012 Algorfa	1930	445
03012 Algorfa	1920	494
03012 Algorfa	1910	429
03012 Algorfa	1900	422
03013 Algueña	1991	1.498
03013 Algueña	1981	1.609
03013 Algueña	1970	1.589
03013 Algueña	1960	1.722
03013 Algueña	1950	1.888
03013 Algueña	1940	1.667
03013 Algueña	1930	""
03013 Algueña	1920	""
03013 Algueña	1910	""
03013 Algueña	1900	""
03014 Alicante/Alacant	1991	275.111
03014 Alicante/Alacant	1981	251.387
03014 Alicante/Alacant	1970	184.716
03014 Alicante/Alacant	1960	121.527
03014 Alicante/Alacant	1950	104.222
03014 Alicante/Alacant	1940	96.729
03014 Alicante/Alacant	1930	73.071
03014 Alicante/Alacant	1920	63.908
03014 Alicante/Alacant	1910	55.300
03014 Alicante/Alacant	1900	50.142
03015 Almoradí	1991	12.304
03015 Almoradí	1981	13.398
03015 Almoradí	1970	11.576
03015 Almoradí	1960	11.141
03015 Almoradí	1950	10.930
03015 Almoradí	1940	10.459
03015 Almoradí	1930	8.864
03015 Almoradí	1920	7.189
03015 Almoradí	1910	4.986
03015 Almoradí	1900	4.960
03016 Almudaina	1991	106
03016 Almudaina	1981	155
03016 Almudaina	1970	228
03016 Almudaina	1960	245
