city,year,population
Alicante/Alacant,2025,2030037
Alicante/Alacant,2024,1991259
Alicante/Alacant,2023,1950357
Alicante/Alacant,2022,1901594
Alicante/Alacant,2021,1881762
Alicante/Alacant,2020,1879888
Alicante/Alacant,2019,1858683
Alicante/Alacant,2018,1838819
Alicante/Alacant,2017,1825332
Alicante/Alacant,2016,1836459
Alicante/Alacant,2015,1855047
Alicante/Alacant,2014,1868438
Alicante/Alacant,2013,1945642
Alicante/Alacant,2012,1943910
Alicante/Alacant,2011,1934127
Alicante/Alacant,2010,1926285
Alicante/Alacant,2009,1917012
Alicante/Alacant,2008,1891477
Alicante/Alacant,2007,1825264
Alicante/Alacant,2006,1783555
Alicante/Alacant,2005,1732389
Alicante/Alacant,2004,1657040
Alicante/Alacant,2003,1632349
Alicante/Alacant,2002,1557968
Alicante/Alacant,2001,1490265
Alicante/Alacant,2000,1445144
Alicante/Alacant,1999,1410946
Alicante/Alacant,1998,1388933
Alicante/Alacant,1996,1379762
Agost,2025,5225
Agost,2024,5107
Agost,2023,5067
Agost,2022,4948
Agost,2021,4906
Agost,2020,4794
Agost,2019,4758
Agost,2018,4713
Agost,2017,4703
Agost,2016,4729
Agost,2015,4707
Agost,2014,4752
Agost,2013,4787
Agost,2012,4791
Agost,2011,4831
Agost,2010,4818
Agost,2009,4810
Agost,2008,4813
Agost,2007,4766
Agost,2006,4723
Agost,2005,4601
Agost,2004,4517
Agost,2003,4451
Agost,2002,4284
Agost,2001,4146
Agost,2000,4095
Agost,1999,4053
Agost,1998,4023
Agost,1996,4017
Agres,2025,623
Agres,2024,610
Agres,2023,619
Agres,2022,589
Agres,2021,580
Agres,2020,564
Agres,2019,565
Agres,2018,551
Agres,2017,549
Agres,2016,565
Agres,2015,574
Agres,2014,583
Agres,2013,565
Agres,2012,598
Agres,2011,610
Agres,2010,599
Agres,2009,619
Agres,2008,627
Agres,2007,623
Agres,2006,614
Agres,2005,653
Agres,2004,671
Agres,2003,622
Agres,2002,623
Agres,2001,632
Agres,2000,639
Agres,1999,649
Agres,1998,651
Agres,1996,656
Aigües,2025,1199
Aigües,2024,1189
Aigües,2023,1146
Aigües,2022,1085
Aigües,2021,1049
