Municipios	Periodo	Total
12 Castellón/Castelló	1991	448.182
12 Castellón/Castelló	1981	431.755
12 Castellón/Castelló	1970	385.823
12 Castellón/Castelló	1960	339.229
12 Castellón/Castelló	1950	325.091
12 Castellón/Castelló	1940	312.475
12 Castellón/Castelló	1930	308.746
12 Castellón/Castelló	1920	306.886
12 Castellón/Castelló	1910	322.213
12 Castellón/Castelló	1900	310.828
12002 Aín	1991	129
12002 Aín	1981	152
12002 Aín	1970	210
12002 Aín	1960	289
12002 Aín	1950	298
12002 Aín	1940	293
12002 Aín	1930	392
12002 Aín	1920	450
12002 Aín	1910	474
12002 Aín	1900	487
12003 Albocàsser	1991	1.505
12003 Albocàsser	1981	1.654
12003 Albocàsser	1970	1.894
12003 Albocàsser	1960	2.092
12003 Albocàsser	1950	2.508
12003 Albocàsser	1940	2.720
12003 Albocàsser	1930	3.060
12003 Albocàsser	1920	3.310
12003 Albocàsser	1910	3.614
12003 Albocàsser	1900	3.663
12004 Alcalà de Xivert	1991	4.779
12004 Alcalà de Xivert	1981	4.580
12004 Alcalà de Xivert	1970	4.314
12004 Alcalà de Xivert	1960	4.394
12004 Alcalà de Xivert	1950	4.740
12004 Alcalà de Xivert	1940	4.811
12004 Alcalà de Xivert	1930	5.499
12004 Alcalà de Xivert	1920	5.855
12004 Alcalà de Xivert	1910	6.198
12004 Alcalà de Xivert	1900	6.293
12005 Alcora, l'	1991	8.372
12005 Alcora, l'	1981	7.981
12005 Alcora, l'	1970	7.005
12005 Alcora, l'	1960	5.248
12005 Alcora, l'	1950	4.043
12005 Alcora, l'	1940	3.782
12005 Alcora, l'	1930	4.422
12005 Alcora, l'	1920	4.541
12005 Alcora, l'	1910	4.880
12005 Alcora, l'	1900	4.551
12006 Alcudia de Veo	1991	191
12006 Alcudia de Veo	1981	274
12006 Alcudia de Veo	1970	364
12006 Alcudia de Veo	1960	507
12006 Alcudia de Veo	1950	616
12006 Alcudia de Veo	1940	550
12006 Alcudia de Veo	1930	780
12006 Alcudia de Veo	1920	794
12006 Alcudia de Veo	1910	859
12006 Alcudia de Veo	1900	867
12007 Alfondeguilla	1991	914
12007 Alfondeguilla	1981	928
