city,year,population
Castellón/Castelló,2025,627173
Castellón/Castelló,2024,615849
Castellón/Castelló,2023,603952
Castellón/Castelló,2022,590616
Castellón/Castelló,2021,587064
Castellón/Castelló,2020,585590
Castellón/Castelló,2019,579962
Castellón/Castelló,2018,576898
Castellón/Castelló,2017,575470
Castellón/Castelló,2016,579245
Castellón/Castelló,2015,582327
Castellón/Castelló,2014,587508
Castellón/Castelló,2013,601699
Castellón/Castelló,2012,604564
Castellón/Castelló,2011,604344
Castellón/Castelló,2010,604274
Castellón/Castelló,2009,602301
Castellón/Castelló,2008,594915
Castellón/Castelló,2007,573282
Castellón/Castelló,2006,559761
Castellón/Castelló,2005,543432
Castellón/Castelló,2004,527345
Castellón/Castelló,2003,518239
Castellón/Castelló,2002,501237
Castellón/Castelló,2001,485173
Castellón/Castelló,2000,474385
Castellón/Castelló,1999,467895
Castellón/Castelló,1998,461712
Castellón/Castelló,1996,456727
Aín,2025,133
Aín,2024,131
Aín,2023,130
Aín,2022,136
Aín,2021,135
Aín,2020,123
Aín,2019,127
Aín,2018,125
Aín,2017,129
Aín,2016,122
Aín,2015,131
Aín,2014,129
Aín,2013,132
Aín,2012,140
Aín,2011,141
Aín,2010,140
Aín,2009,141
Aín,2008,145
Aín,2007,149
Aín,2006,145
Aín,2005,149
Aín,2004,153
Aín,2003,154
Aín,2002,156
Aín,2001,166
Aín,2000,167
Aín,1999,156
Aín,1998,155
Aín,1996,130
Albocàsser,2025,1370
Albocàsser,2024,1338
Albocàsser,2023,1302
Albocàsser,2022,1264
Albocàsser,2021,1253
Albocàsser,2020,1227
Albocàsser,2019,1241
Albocàsser,2018,1234
Albocàsser,2017,1257
Albocàsser,2016,1303
Albocàsser,2015,1334
Albocàsser,2014,1351
Albocàsser,2013,1424
Albocàsser,2012,1422
Albocàsser,2011,1443
Albocàsser,2010,1439
Albocàsser,2009,1447
Albocàsser,2008,1446
Albocàsser,2007,1381
Albocàsser,2006,1377
Albocàsser,2005,1395
Albocàsser,2004,1385
Albocàsser,2003,1378
Albocàsser,2002,1381
Albocàsser,2001,1348
Albocàsser,2000,1344
Albocàsser,1999,1368
Albocàsser,1998,1374
Albocàsser,1996,1399
Alcalà de Xivert,2025,7349
Alcalà de Xivert,2024,7176
Alcalà de Xivert,2023,7160
Alcalà de Xivert,2022,6831
Alcalà de Xivert,2021,6691
Alcalà de Xivert,2020,6638
Alcalà de Xivert,2019,6680
Alcalà de Xivert,2018,6679
Alcalà de Xivert,2017,6796
Alcalà de Xivert,2016,6893
Alcalà de Xivert,2015,7255
Alcalà de Xivert,2014,7233
Alcalà de Xivert,2013,8208
Alcalà de Xivert,2012,8218
Alcalà de Xivert,2011,8175
Alcalà de Xivert,2010,7860
Alcalà de Xivert,2009,7926
Alcalà de Xivert,2008,7884
Alcalà de Xivert,2007,7358
Alcalà de Xivert,2006,7074
Alcalà de Xivert,2005,6752
Alcalà de Xivert,2004,6449
Alcalà de Xivert,2003,6324
Alcalà de Xivert,2002,6164
Alcalà de Xivert,2001,5750
Alcalà de Xivert,2000,5456
Alcalà de Xivert,1999,5150
Alcalà de Xivert,1998,4902
Alcalà de Xivert,1996,4915
"Alcora, l'",2025,10664
"Alcora, l'",2024,10581
"Alcora, l'",2023,10526
"Alcora, l'",2022,10468
"Alcora, l'",2021,10428
"Alcora, l'",2020,10417
"Alcora, l'",2019,10405
"Alcora, l'",2018,10430
"Alcora, l'",2017,10502
"Alcora, l'",2016,10535
"Alcora, l'",2015,10591
"Alcora, l'",2014,10672
"Alcora, l'",2013,10797
"Alcora, l'",2012,10821
"Alcora, l'",2011,10856
"Alcora, l'",2010,11029
"Alcora, l'",2009,11150
"Alcora, l'",2008,11068
"Alcora, l'",2007,10765
"Alcora, l'",2006,10535
"Alcora, l'",2005,10297
"Alcora, l'",2004,10084
"Alcora, l'",2003,9925
"Alcora, l'",2002,9575
"Alcora, l'",2001,9251
"Alcora, l'",2000,9106
"Alcora, l'",1999,8935
"Alcora, l'",1998,8788
"Alcora, l'",1996,8662
Alcudia de Veo,2025,200
Alcudia de Veo,2024,213
Alcudia de Veo,2023,203
Alcudia de Veo,2022,195
Alcudia de Veo,2021,196
Alcudia de Veo,2020,188
Alcudia de Veo,2019,190
Alcudia de Veo,2018,201
Alcudia de Veo,2017,204
Alcudia de Veo,2016,201
Alcudia de Veo,2015,209
Alcudia de Veo,2014,218
Alcudia de Veo,2013,214
Alcudia de Veo,2012,221
Alcudia de Veo,2011,229
Alcudia de Veo,2010,225
Alcudia de Veo,2009,211
Alcudia de Veo,2008,212
Alcudia de Veo,2007,228
Alcudia de Veo,2006,211
Alcudia de Veo,2005,205
Alcudia de Veo,2004,204
Alcudia de Veo,2003,201
Alcudia de Veo,2002,203
Alcudia de Veo,2001,214
Alcudia de Veo,2000,220
Alcudia de Veo,1999,172
Alcudia de Veo,1998,177
Alcudia de Veo,1996,181
Alfondeguilla,2025,881
Alfondeguilla,2024,870
Alfondeguilla,2023,873
Alfondeguilla,2022,877
Alfondeguilla,2021,870
Alfondeguilla,2020,862
Alfondeguilla,2019,866
Alfondeguilla,2018,862
Alfondeguilla,2017,870
Alfondeguilla,2016,894
Alfondeguilla,2015,901
Alfondeguilla,2014,893
Alfondeguilla,2013,876
Alfondeguilla,2012,872
Alfondeguilla,2011,881
Alfondeguilla,2010,874
Alfondeguilla,2009,860
Alfondeguilla,2008,886
Alfondeguilla,2007,902
Alfondeguilla,2006,893
Alfondeguilla,2005,899
Alfondeguilla,2004,871
Alfondeguilla,2003,883
Alfondeguilla,2002,905
Alfondeguilla,2001,908
Alfondeguilla,2000,908
Alfondeguilla,1999,910
Alfondeguilla,1998,919
Alfondeguilla,1996,922
Algimia de Almonacid,2025,254
Algimia de Almonacid,2024,258
Algimia de Almonacid,2023,249
Algimia de Almonacid,2022,247
Algimia de Almonacid,2021,240
Algimia de Almonacid,2020,262
Algimia de Almonacid,2019,263
Algimia de Almonacid,2018,259
Algimia de Almonacid,2017,268
Algimia de Almonacid,2016,265
Algimia de Almonacid,2015,281
Algimia de Almonacid,2014,292
Algimia de Almonacid,2013,301
Algimia de Almonacid,2012,312
Algimia de Almonacid,2011,315
Algimia de Almonacid,2010,326
Algimia de Almonacid,2009,328
Algimia de Almonacid,2008,321
Algimia de Almonacid,2007,303
Algimia de Almonacid,2006,286
Algimia de Almonacid,2005,282
Algimia de Almonacid,2004,269
Algimia de Almonacid,2003,267
Algimia de Almonacid,2002,284
Algimia de Almonacid,2001,288
Algimia de Almonacid,2000,278
Algimia de Almonacid,1999,287
Algimia de Almonacid,1998,288
Algimia de Almonacid,1996,313
Almassora,2025,29159
Almassora,2024,28497
Almassora,2023,27989
Almassora,2022,27383
Almassora,2021,26878
Almassora,2020,26742
Almassora,2019,26270
Almassora,2018,25831
Almassora,2017,25648
Almassora,2016,25632
Almassora,2015,25488
Almassora,2014,25566
Almassora,2013,26186
Almassora,2012,26137
Almassora,2011,25945
Almassora,2010,25628
Almassora,2009,24963
Almassora,2008,23891
Almassora,2007,21772
Almassora,2006,20597
Almassora,2005,19688
Almassora,2004,18961
Almassora,2003,18385
Almassora,2002,17644
Almassora,2001,17124
Almassora,2000,16897
Almassora,1999,16609
Almassora,1998,16465
Almassora,1996,16306
Almedíjar,2025,288
Almedíjar,2024,288
Almedíjar,2023,280
Almedíjar,2022,269
Almedíjar,2021,254
Almedíjar,2020,244
Almedíjar,2019,254
Almedíjar,2018,256
Almedíjar,2017,270
Almedíjar,2016,281
Almedíjar,2015,275
Almedíjar,2014,261
Almedíjar,2013,278
Almedíjar,2012,297
Almedíjar,2011,306
Almedíjar,2010,267
Almedíjar,2009,252
Almedíjar,2008,256
Almedíjar,2007,268
Almedíjar,2006,272
Almedíjar,2005,276
Almedíjar,2004,270
Almedíjar,2003,274
Almedíjar,2002,281
Almedíjar,2001,273
Almedíjar,2000,275
Almedíjar,1999,274
Almedíjar,1998,283
Almedíjar,1996,300
Almenara,2025,6813
Almenara,2024,6710
Almenara,2023,6591
Almenara,2022,6388
Almenara,2021,6254
Almenara,2020,6090
Almenara,2019,5998
Almenara,2018,5900
Almenara,2017,5920
Almenara,2016,5949
Almenara,2015,6031
Almenara,2014,6123
Almenara,2013,6149
Almenara,2012,6112
Almenara,2011,6102
Almenara,2010,6007
Almenara,2009,5926
Almenara,2008,5705
Almenara,2007,5440
Almenara,2006,5324
Almenara,2005,5069
Almenara,2004,5045
Almenara,2003,5076
Almenara,2002,5016
Almenara,2001,4968
Almenara,2000,4912
Almenara,1999,5001
Almenara,1998,5001
Almenara,1996,5018
"Alqueries, les/Alquerías del Niño Perdido",2025,4605
"Alqueries, les/Alquerías del Niño Perdido",2024,4563
"Alqueries, les/Alquerías del Niño Perdido",2023,4539
"Alqueries, les/Alquerías del Niño Perdido",2022,4511
"Alqueries, les/Alquerías del Niño Perdido",2021,4539
"Alqueries, les/Alquerías del Niño Perdido",2020,4464
"Alqueries, les/Alquerías del Niño Perdido",2019,4449
"Alqueries, les/Alquerías del Niño Perdido",2018,4460
"Alqueries, les/Alquerías del Niño Perdido",2017,4466
"Alqueries, les/Alquerías del Niño Perdido",2016,4528
"Alqueries, les/Alquerías del Niño Perdido",2015,4503
"Alqueries, les/Alquerías del Niño Perdido",2014,4423
"Alqueries, les/Alquerías del Niño Perdido",2013,4507
"Alqueries, les/Alquerías del Niño Perdido",2012,4509
"Alqueries, les/Alquerías del Niño Perdido",2011,4433
"Alqueries, les/Alquerías del Niño Perdido",2010,4353
"Alqueries, les/Alquerías del Niño Perdido",2009,4284
"Alqueries, les/Alquerías del Niño Perdido",2008,4142
"Alqueries, les/Alquerías del Niño Perdido",2007,3983
"Alqueries, les/Alquerías del Niño Perdido",2006,3866
"Alqueries, les/Alquerías del Niño Perdido",2005,3805
"Alqueries, les/Alquerías del Niño Perdido",2004,3746
"Alqueries, les/Alquerías del Niño Perdido",2003,3695
"Alqueries, les/Alquerías del Niño Perdido",2002,3628
"Alqueries, les/Alquerías del Niño Perdido",2001,3538
"Alqueries, les/Alquerías del Niño Perdido",2000,3543
"Alqueries, les/Alquerías del Niño Perdido",1999,3556
"Alqueries, les/Alquerías del Niño Perdido",1998,3531
"Alqueries, les/Alquerías del Niño Perdido",1996,3508
Altura,2025,3849
