city,year,population
Población de Hecho: Ademuz,1991,1208
Población de Hecho: Ademuz,1981,1545
Población de Hecho: Ademuz,1970,2180
Población de Hecho: Ademuz,1960,2737
Población de Hecho: Ademuz,1950,3264
Población de Hecho: Ademuz,1940,3611
Población de Hecho: Ademuz,1930,3440
Población de Hecho: Ademuz,1920,3761
Población de Hecho: Ademuz,1910,3638
Población de Hecho: Ademuz,1900,3403
Población de Hecho: Ador,1991,1082
Población de Hecho: Ador,1981,1252
Población de Hecho: Ador,1970,1340
Población de Hecho: Ador,1960,1321
Población de Hecho: Ador,1950,1242
Población de Hecho: Ador,1940,1187
Población de Hecho: Ador,1930,1104
Población de Hecho: Ador,1920,904
Población de Hecho: Ador,1910,903
Población de Hecho: Ador,1900,822
Población de Hecho: Agullent,1991,2026
Población de Hecho: Agullent,1981,1969
Población de Hecho: Agullent,1970,1615
Población de Hecho: Agullent,1960,1544
Población de Hecho: Agullent,1950,1359
Población de Hecho: Agullent,1940,1245
Población de Hecho: Agullent,1930,1193
Población de Hecho: Agullent,1920,1355
Población de Hecho: Agullent,1910,1341
Población de Hecho: Agullent,1900,1133
Población de Hecho: Aielo de Malferit,1991,3766
Población de Hecho: Aielo de Malferit,1981,3549
Población de Hecho: Aielo de Malferit,1970,3156
Población de Hecho: Aielo de Malferit,1960,3085
Población de Hecho: Aielo de Malferit,1950,2823
Población de Hecho: Aielo de Malferit,1940,2595
Población de Hecho: Aielo de Malferit,1930,2695
Población de Hecho: Aielo de Malferit,1920,2840
Población de Hecho: Aielo de Malferit,1910,2895
Población de Hecho: Aielo de Malferit,1900,2883
Población de Hecho: Ayelo de Rugat,1991,201
Población de Hecho: Ayelo de Rugat,1981,220
Población de Hecho: Ayelo de Rugat,1970,237
Población de Hecho: Ayelo de Rugat,1960,256
Población de Hecho: Ayelo de Rugat,1950,264
Población de Hecho: Ayelo de Rugat,1940,266
Población de Hecho: Ayelo de Rugat,1930,224
Población de Hecho: Ayelo de Rugat,1920,294
Población de Hecho: Ayelo de Rugat,1910,290
Población de Hecho: Ayelo de Rugat,1900,290
Población de Hecho: Alaquàs,1991,24107
Población de Hecho: Alaquàs,1981,23550
Población de Hecho: Alaquàs,1970,19639
Población de Hecho: Alaquàs,1960,8116
Población de Hecho: Alaquàs,1950,4332
Población de Hecho: Alaquàs,1940,3753
Población de Hecho: Alaquàs,1930,3276
Población de Hecho: Alaquàs,1920,2765
Población de Hecho: Alaquàs,1910,2672
Población de Hecho: Alaquàs,1900,2370
Población de Hecho: Albaida,1991,5862
Población de Hecho: Albaida,1981,5571
Población de Hecho: Albaida,1970,4971
Población de Hecho: Albaida,1960,4216
Población de Hecho: Albaida,1950,3983
Población de Hecho: Albaida,1940,4005
Población de Hecho: Albaida,1930,4027
Población de Hecho: Albaida,1920,4249
Población de Hecho: Albaida,1910,4127
Población de Hecho: Albaida,1900,4035
Población de Hecho: Albal,1991,9109
Población de Hecho: Albal,1981,8101
Población de Hecho: Albal,1970,7203
Población de Hecho: Albal,1960,4784
Población de Hecho: Albal,1950,4069
Población de Hecho: Albal,1940,3547
Población de Hecho: Albal,1930,3100
Población de Hecho: Albal,1920,2673
Población de Hecho: Albal,1910,2373
Población de Hecho: Albal,1900,2293
Población de Hecho: Albalat de la Ribera,1991,3421
Población de Hecho: Albalat de la Ribera,1981,3570
Población de Hecho: Albalat de la Ribera,1970,3551
Población de Hecho: Albalat de la Ribera,1960,3354
Población de Hecho: Albalat de la Ribera,1950,3342
Población de Hecho: Albalat de la Ribera,1940,3180
Población de Hecho: Albalat de la Ribera,1930,2990
Población de Hecho: Albalat de la Ribera,1920,2928
Población de Hecho: Albalat de la Ribera,1910,2850
Población de Hecho: Albalat de la Ribera,1900,2625
Población de Hecho: Albalat dels Sorells,1991,3515
Población de Hecho: Albalat dels Sorells,1981,3608
Población de Hecho: Albalat dels Sorells,1970,3063
Población de Hecho: Albalat dels Sorells,1960,2447
Población de Hecho: Albalat dels Sorells,1950,1851
Población de Hecho: Albalat dels Sorells,1940,1835
Población de Hecho: Albalat dels Sorells,1930,1693
Población de Hecho: Albalat dels Sorells,1920,1634
Población de Hecho: Albalat dels Sorells,1910,1500
Población de Hecho: Albalat dels Sorells,1900,1198
Población de Hecho: Albalat dels Tarongers,1991,559
Población de Hecho: Albalat dels Tarongers,1981,559
Población de Hecho: Albalat dels Tarongers,1970,629
Población de Hecho: Albalat dels Tarongers,1960,650
Población de Hecho: Albalat dels Tarongers,1950,713
Población de Hecho: Albalat dels Tarongers,1940,754
Población de Hecho: Albalat dels Tarongers,1930,868
Población de Hecho: Albalat dels Tarongers,1920,810
Población de Hecho: Albalat dels Tarongers,1910,923
Población de Hecho: Albalat dels Tarongers,1900,857
Población de Hecho: Alberic,1991,8587
Población de Hecho: Alberic,1981,8836
Población de Hecho: Alberic,1970,8509
Población de Hecho: Alberic,1960,7945
Población de Hecho: Alberic,1950,7451
Población de Hecho: Alberic,1940,7078
Población de Hecho: Alberic,1930,6732
Población de Hecho: Alberic,1920,6573
Población de Hecho: Alberic,1910,6433
Población de Hecho: Alberic,1900,5792
Población de Hecho: Alborache,1991,859
Población de Hecho: Alborache,1981,768
Población de Hecho: Alborache,1970,821
Población de Hecho: Alborache,1960,914
Población de Hecho: Alborache,1950,1000
Población de Hecho: Alborache,1940,981
Población de Hecho: Alborache,1930,950
Población de Hecho: Alborache,1920,1017
Población de Hecho: Alborache,1910,1107
Población de Hecho: Alborache,1900,1244
Población de Hecho: Alboraya,1991,11687
Población de Hecho: Alboraya,1981,10727
Población de Hecho: Alboraya,1970,9126
Población de Hecho: Alboraya,1960,8073
Población de Hecho: Alboraya,1950,6885
Población de Hecho: Alboraya,1940,6749
Población de Hecho: Alboraya,1930,6124
Población de Hecho: Alboraya,1920,5712
Población de Hecho: Alboraya,1910,4807
Población de Hecho: Alboraya,1900,4700
Población de Hecho: Albuixech,1991,2963
Población de Hecho: Albuixech,1981,2974
Población de Hecho: Albuixech,1970,2641
Población de Hecho: Albuixech,1960,2407
Población de Hecho: Albuixech,1950,2310
Población de Hecho: Albuixech,1940,2301
Población de Hecho: Albuixech,1930,2248
Población de Hecho: Albuixech,1920,2047
Población de Hecho: Albuixech,1910,1924
Población de Hecho: Albuixech,1900,1514
Población de Hecho: Alcantera de xuquer,1991,1483
Población de Hecho: Alcantera de xuquer,1981,1418
Población de Hecho: Alcantera de xuquer,1970,1231
Población de Hecho: Alcantera de xuquer,1960,1211
Población de Hecho: Alcantera de xuquer,1950,1129
Población de Hecho: Alcantera de xuquer,1940,1001
Población de Hecho: Alcantera de xuquer,1930,1214
Población de Hecho: Alcantera de xuquer,1920,1128
Población de Hecho: Alcantera de xuquer,1910,1118
Población de Hecho: Alcantera de xuquer,1900,921
Población de Hecho: Alcàcer,1991,7191
Población de Hecho: Alcàcer,1981,6555
Población de Hecho: Alcàcer,1970,5449
Población de Hecho: Alcàcer,1960,4679
Población de Hecho: Alcàcer,1950,4473
Población de Hecho: Alcàcer,1940,4368
Población de Hecho: Alcàcer,1930,4055
Población de Hecho: Alcàcer,1920,3530
Población de Hecho: Alcàcer,1910,3411
Población de Hecho: Alcàcer,1900,3200
Población de Hecho: Alcublas,1991,852
Población de Hecho: Alcublas,1981,988
Población de Hecho: Alcublas,1970,1119
Población de Hecho: Alcublas,1960,1486
Población de Hecho: Alcublas,1950,1822
Población de Hecho: Alcublas,1940,1981
Población de Hecho: Alcublas,1930,2094
Población de Hecho: Alcublas,1920,2714
Población de Hecho: Alcublas,1910,2763
Población de Hecho: Alcublas,1900,2775
Población de Hecho: Alcúdia de Crespins (L'),1991,4112
Población de Hecho: Alcúdia de Crespins (L'),1981,4081
Población de Hecho: Alcúdia de Crespins (L'),1970,3724
Población de Hecho: Alcúdia de Crespins (L'),1960,2544
Población de Hecho: Alcúdia de Crespins (L'),1950,2176
Población de Hecho: Alcúdia de Crespins (L'),1940,2092
Población de Hecho: Alcúdia de Crespins (L'),1930,1923
Población de Hecho: Alcúdia de Crespins (L'),1920,1613
Población de Hecho: Alcúdia de Crespins (L'),1910,1669
Población de Hecho: Alcúdia de Crespins (L'),1900,1398
Población de Hecho: Alcúdia (L'),1991,9988
Población de Hecho: Alcúdia (L'),1981,10016
Población de Hecho: Alcúdia (L'),1970,8151
Población de Hecho: Alcúdia (L'),1960,6855
Población de Hecho: Alcúdia (L'),1950,6265
Población de Hecho: Alcúdia (L'),1940,5621
Población de Hecho: Alcúdia (L'),1930,5062
Población de Hecho: Alcúdia (L'),1920,4242
Población de Hecho: Alcúdia (L'),1910,4180
Población de Hecho: Alcúdia (L'),1900,3312
Población de Hecho: Aldaia,1991,22350
Población de Hecho: Aldaia,1981,20800
Población de Hecho: Aldaia,1970,16157
Población de Hecho: Aldaia,1960,9579
Población de Hecho: Aldaia,1950,6382
Población de Hecho: Aldaia,1940,4570
Población de Hecho: Aldaia,1930,3974
Población de Hecho: Aldaia,1920,3423
Población de Hecho: Aldaia,1910,3236
Población de Hecho: Aldaia,1900,2906
Población de Hecho: Alfafar,1991,19996
Población de Hecho: Alfafar,1981,20195
Población de Hecho: Alfafar,1970,13093
Población de Hecho: Alfafar,1960,4394
Población de Hecho: Alfafar,1950,4126
Población de Hecho: Alfafar,1940,3983
Población de Hecho: Alfafar,1930,3531
Población de Hecho: Alfafar,1920,3241
Población de Hecho: Alfafar,1910,2934
Población de Hecho: Alfafar,1900,2552
Población de Hecho: Alfara de Algimia,1991,527
Población de Hecho: Alfara de Algimia,1981,568
Población de Hecho: Alfara de Algimia,1970,659
Población de Hecho: Alfara de Algimia,1960,641
Población de Hecho: Alfara de Algimia,1950,608
Población de Hecho: Alfara de Algimia,1940,575
Población de Hecho: Alfara de Algimia,1930,589
Población de Hecho: Alfara de Algimia,1920,571
Población de Hecho: Alfara de Algimia,1910,621
Población de Hecho: Alfara de Algimia,1900,638
Población de Hecho: Alfara del Patriarca,1991,2818
Población de Hecho: Alfara del Patriarca,1981,2851
Población de Hecho: Alfara del Patriarca,1970,2777
Población de Hecho: Alfara del Patriarca,1960,2508
Población de Hecho: Alfara del Patriarca,1950,2349
Población de Hecho: Alfara del Patriarca,1940,2272
Población de Hecho: Alfara del Patriarca,1930,2230
Población de Hecho: Alfara del Patriarca,1920,1810
Población de Hecho: Alfara del Patriarca,1910,1575
Población de Hecho: Alfara del Patriarca,1900,1342
Población de Hecho: Alfarp,1991,1333
Población de Hecho: Alfarp,1981,1239
Población de Hecho: Alfarp,1970,1229
Población de Hecho: Alfarp,1960,1216
Población de Hecho: Alfarp,1950,1390
Población de Hecho: Alfarp,1940,1371
Población de Hecho: Alfarp,1930,1271
Población de Hecho: Alfarp,1920,1166
Población de Hecho: Alfarp,1910,1079
Población de Hecho: Alfarp,1900,1089
Población de Hecho: Alfarrasi,1991,1204
Población de Hecho: Alfarrasi,1981,1182
Población de Hecho: Alfarrasi,1970,1104
Población de Hecho: Alfarrasi,1960,841
Población de Hecho: Alfarrasi,1950,775
Población de Hecho: Alfarrasi,1940,748
Población de Hecho: Alfarrasi,1930,729
Población de Hecho: Alfarrasi,1920,675
Población de Hecho: Alfarrasi,1910,694
Población de Hecho: Alfarrasi,1900,686
Población de Hecho: Alfauir,1991,291
Población de Hecho: Alfauir,1981,334
Población de Hecho: Alfauir,1970,397
Población de Hecho: Alfauir,1960,434
Población de Hecho: Alfauir,1950,440
