city,year,population
"03001 Atzúbia, l'",1996,582
"03001 Atzúbia, l'",1997,
"03001 Atzúbia, l'",1998,579
"03001 Atzúbia, l'",1999,558
"03001 Atzúbia, l'",2000,547
"03001 Atzúbia, l'",2001,570
"03001 Atzúbia, l'",2002,605
"03001 Atzúbia, l'",2003,587
"03001 Atzúbia, l'",2004,635
"03001 Atzúbia, l'",2005,611
"03001 Atzúbia, l'",2006,627
"03001 Atzúbia, l'",2007,668
"03001 Atzúbia, l'",2008,686
"03001 Atzúbia, l'",2009,693
"03001 Atzúbia, l'",2010,695
"03001 Atzúbia, l'",2011,730
"03001 Atzúbia, l'",2012,749
"03001 Atzúbia, l'",2013,744
"03001 Atzúbia, l'",2014,627
"03001 Atzúbia, l'",2015,632
"03001 Atzúbia, l'",2016,689
"03001 Atzúbia, l'",2017,664
"03001 Atzúbia, l'",2018,661
"03001 Atzúbia, l'",2019,632
"03001 Atzúbia, l'",2020,611
"03001 Atzúbia, l'",2021,609
"03001 Atzúbia, l'",2022,616
"03001 Atzúbia, l'",1900,631
"03001 Atzúbia, l'",1910,692
"03001 Atzúbia, l'",1920,841
"03001 Atzúbia, l'",1930,851
"03001 Atzúbia, l'",1940,889
"03001 Atzúbia, l'",1950,858
"03001 Atzúbia, l'",1960,766
"03001 Atzúbia, l'",1970,644
"03001 Atzúbia, l'",1981,544
"03001 Atzúbia, l'",1991,545
03002 Agost,1996,4017
03002 Agost,1997,
03002 Agost,1998,4023
03002 Agost,1999,4053
03002 Agost,2000,4095
03002 Agost,2001,4146
03002 Agost,2002,4284
03002 Agost,2003,4451
03002 Agost,2004,4517
03002 Agost,2005,4601
03002 Agost,2006,4723
03002 Agost,2007,4766
03002 Agost,2008,4813
03002 Agost,2009,4810
03002 Agost,2010,4818
03002 Agost,2011,4831
03002 Agost,2012,4791
03002 Agost,2013,4787
03002 Agost,2014,4752
03002 Agost,2015,4707
03002 Agost,2016,4729
03002 Agost,2017,4703
03002 Agost,2018,4713
03002 Agost,2019,4758
03002 Agost,2020,4794
03002 Agost,2021,4906
03002 Agost,2022,4948
03002 Agost,1900,2958
03002 Agost,1910,3152
03002 Agost,1920,2619
03002 Agost,1930,2811
03002 Agost,1940,2349
03002 Agost,1950,2356
03002 Agost,1960,2591
03002 Agost,1970,3369
03002 Agost,1981,3721
03002 Agost,1991,3906
